protocol,topology,node_count,loss_rate,delivery_ratio,total_transmissions,redundant_messages,avg_hop,avg_delay,network_overhead,loss_impact,unique_receivers,dropped_packets,successful_transmissions,density_label
flooding,random,97.0,0.1,0.9072164948453608,208.0,102.0,4.1477272727272725,6.24762070865236,2.3908045977011496,0.09134615384615384,88.0,19.0,87.0,sparse
flooding,random,94.0,0.1,0.9574468085106383,216.0,99.0,3.933333333333333,5.971694562379806,2.4269662921348316,0.12962962962962962,90.0,28.0,89.0,sparse
flooding,random,95.0,0.1,0.6421052631578947,95.0,22.0,5.327868852459017,7.190432262651678,1.5833333333333333,0.1368421052631579,61.0,13.0,60.0,sparse
flooding,random,98.0,0.1,0.9693877551020408,205.0,95.0,4.252631578947368,6.675241807762638,2.1808510638297873,0.07804878048780488,95.0,16.0,94.0,sparse
flooding,random,90.0,0.1,0.9888888888888889,213.0,104.0,3.292134831460674,4.77533903074125,2.4204545454545454,0.09859154929577464,89.0,21.0,88.0,sparse
flooding,random,100.0,0.1,1.0,1363.0,1132.0,2.25,2.7858035147292615,13.767676767676768,0.09684519442406456,100.0,132.0,99.0,dense
flooding,random,100.0,0.1,1.0,1447.0,1185.0,1.96,2.5417628391906937,14.616161616161616,0.11264685556323428,100.0,163.0,99.0,dense
flooding,random,100.0,0.1,1.0,1353.0,1116.0,2.08,2.8583376770216877,13.666666666666666,0.10199556541019955,100.0,138.0,99.0,dense
flooding,random,100.0,0.1,1.0,1325.0,1093.0,1.93,2.5994514772831296,13.383838383838384,0.10037735849056603,100.0,133.0,99.0,dense
flooding,random,100.0,0.1,1.0,1415.0,1187.0,2.17,3.1374930099362515,14.292929292929292,0.0911660777385159,100.0,129.0,99.0,dense
gossip,random,96.0,0.1,0.4270833333333333,58.0,16.0,4.682926829268292,6.765358987510895,1.45,0.034482758620689655,41.0,2.0,40.0,sparse
gossip,random,94.0,0.1,0.5638297872340425,73.0,14.0,4.773584905660377,6.694900679398255,1.4038461538461537,0.0958904109589041,53.0,7.0,52.0,sparse
gossip,random,100.0,0.1,0.61,80.0,15.0,4.983606557377049,7.0889082152161045,1.3333333333333333,0.0625,61.0,5.0,60.0,sparse
gossip,random,99.0,0.1,0.5959595959595959,71.0,7.0,5.016949152542373,8.047953881408226,1.2241379310344827,0.08450704225352113,59.0,6.0,58.0,sparse
gossip,random,92.0,0.1,0.5217391304347826,67.0,15.0,4.520833333333333,6.552188679573316,1.425531914893617,0.07462686567164178,48.0,5.0,47.0,sparse
gossip,random,100.0,0.1,0.39,54.0,12.0,5.384615384615385,8.389233879716327,1.4210526315789473,0.07407407407407407,39.0,4.0,38.0,dense
gossip,random,100.0,0.1,0.37,50.0,6.0,5.378378378378378,7.205563819463513,1.3888888888888888,0.16,37.0,8.0,36.0,dense
gossip,random,100.0,0.1,0.29,44.0,7.0,4.931034482758621,7.685201048606704,1.5714285714285714,0.20454545454545456,29.0,9.0,28.0,dense
gossip,random,100.0,0.1,0.69,116.0,43.0,4.840579710144928,7.579526711436473,1.7058823529411764,0.04310344827586207,69.0,5.0,68.0,dense
gossip,random,100.0,0.1,0.59,96.0,31.0,4.779661016949152,6.491585549494617,1.6551724137931034,0.07291666666666667,59.0,7.0,58.0,dense
